1	1	4491.49	2303	0
2	3	0	1263	0
3	4	7099.87	7112	2492
4	1	730.46	10735	0
5	1	8107.07	6556	0
6	3	0	8822	0
7	4	5152.03	3492	4823
8	2	2345.87	2756	0
9	3	0	2526	0
10	2	7984.01	2541	0
11	1	3256.83	4398	0
12	1	1139.24	9834	0
13	3	0	7633	0
14	3	0	10753	0
15	2	1095.89	2189	0
16	2	6360.90	1600	0
17	2	8836.42	2677	0
18	1	2727.24	4401	0
19	1	629.29	1337	0
20	3	0	9484	0
21	4	8405.24	1878	1932
22	4	7156.91	5572	7920
23	3	0	1703	0
24	3	0	2164	0
25	3	0	8364	0
26	3	0	10325	0
27	1	3379.10	10283	0
28	2	7339.63	5115	0
29	1	1409.71	7808	0
30	3	0	8183	0
31	4	6850.26	8370	8285
32	3	0	2048	0
33	4	5607.93	9516	5654
34	3	0	4700	0
35	2	8505.46	8727	0
36	2	3835.89	6895	0
37	4	9736.55	9484	8940
38	1	5209.29	4288	0
39	3	0	1406	0
40	4	1653.54	2610	6266
41	2	6941.61	2251	0
42	4	646.03	1009	2184
43	3	0	5883	0
44	1	8649.78	3393	0
45	4	5511.98	4277	4685
46	4	339.65	8911	7133
47	2	9464.52	5343	0
48	3	0	8614	0
49	3	0	10799	0
50	3	0	3892	0
51	3	0	9565	0
52	2	6633.08	1660	0
53	2	6247.32	9309	0
54	2	4217.05	1327	0
55	3	0	9905	0
56	2	2477.84	4326	0
57	2	3588.77	6317	0
58	1	6570.16	1489	0
59	4	9111.25	4786	7322
60	3	0	6633	0
61	4	6878.70	9606	1055
62	3	0	4439	0
63	1	324.84	10570	0
64	3	0	2950	0
65	4	2947.40	10056	6264
66	4	5680.50	2587	10427
67	4	2811.84	5445	5639
68	1	5247.04	5522	0
69	1	816.31	10527	0
70	3	0	3671	0
71	4	5239.92	6847	6987
72	4	9209.17	1885	7797
73	3	0	5104	0
74	2	4230.91	9432	0
75	3	0	4989	0
76	4	6379.00	3102	1790
77	2	5726.11	8134	0
78	3	0	4981	0
79	4	710.29	8278	2404
80	3	0	5709	0
81	4	1680.26	7017	10577
82	2	4145.68	10391	0
83	3	0	5633	0
84	1	5325.14	9450	0
85	1	2630.45	2584	0
86	1	8276.29	10354	0
87	4	335.09	10601	2475
88	1	9092.52	8731	0
89	3	0	8881	0
90	1	8081.44	4938	0
91	1	6923.83	1236	0
92	1	3850.10	2601	0
93	3	0	7166	0
94	1	1175.38	5448	0
95	2	3376.39	4314	0
96	4	6243.01	3206	2304
97	3	0	6300	0
98	3	0	8148	0
99	3	0	4014	0
100	2	4593.92	8232	0
101	3	0	6839	0
102	3	0	9476	0
103	2	8196.91	3522	0
104	2	420.47	4944	0
105	3	0	3009	0
106	3	0	7067	0
107	1	1620.79	8274	0
108	1	4073.73	6355	0
109	2	7241.49	4154	0
110	3	0	10799	0
111	2	350.94	10338	0
112	2	624.42	5911	0
113	4	9067.26	5010	4845
114	3	0	6749	0
115	4	7152.31	5036	4267
116	1	2430.28	9349	0
117	4	799.16	7934	7131
118	2	3490.61	6428	0
119	3	0	4133	0
120	3	0	1578	0
121	4	4116.57	3165	3991
122	1	1649.50	3409	0
123	2	9866.17	6762	0
124	3	0	2735	0
125	1	7334.65	1735	0
126	2	1360.21	9612	0
127	4	1475.36	3181	3599
128	3	0	8188	0
129	4	6402.17	5959	4339
130	2	2522.28	3458	0
131	2	530.80	9083	0
132	1	9661.63	9169	0
133	2	1755.51	5604	0
134	2	568.25	8527	0
135	3	0	9394	0
136	3	0	1983	0
137	1	7503.07	4119	0
138	4	5439.00	10971	5822
139	2	8481.96	9249	0
140	3	0	6318	0
141	4	5390.01	3422	9024
142	2	4383.07	5638	0
143	3	0	5439	0
144	2	8710.41	2387	0
145	3	0	2861	0
146	3	0	4348	0
147	4	6514.09	1749	9951
148	1	3083.05	10438	0
149	3	0	7813	0
150	2	7906.56	2655	0
151	4	5424.20	8047	4358
152	3	0	2906	0
153	2	6213.66	10050	0
154	3	0	2919	0
155	4	4575.88	1166	2662
156	3	0	4192	0
157	3	0	7210	0
158	2	4807.92	2451	0
159	2	2438.01	8970	0
160	3	0	9106	0
161	4	61.09	1472	4902
162	2	7622.60	7069	0
163	4	4223.96	5036	2133
164	3	0	6613	0
165	4	9877.00	5521	10143
166	4	9421.85	1749	9474
167	2	6713.54	6705	0
168	4	7766.78	3360	9805
169	1	5363.44	1151	0
170	3	0	2164	0
171	3	0	5048	0
172	4	9388.96	10710	6445
173	4	7694.78	10910	5552
174	4	2578.61	3373	3272
175	2	9279.53	10958	0
176	3	0	3620	0
177	2	4057.51	9503	0
178	2	4941.64	3764	0
179	4	2117.05	1037	8543
180	3	0	4111	0
181	2	1270.90	2889	0
182	1	7724.40	2651	0
183	4	8536.67	6660	1865
184	1	1101.31	2598	0
185	1	9938.37	3028	0
186	1	2225.58	10471	0
187	4	2565.71	10856	4003
188	2	2277.42	10189	0
