1000	593.08
1001	38.76
1002	531.02
1003	399.33
1004	669.78
1005	412.44
1006	800.27
1007	146.73
1008	455.87
1009	133.78
1010	639.41
1011	178.38
1012	861.09
1013	603.54
1014	113.17
1015	585.64
1016	763.64
1017	636.86
1018	977.61
1019	644.04
1020	302.06
1021	63.00
1022	9.71
1023	117.37
1024	610.85
1025	360.94
1026	41.36
1027	183.03
1028	38.86
1029	184.68
1030	460.06
1031	472.98
1032	389.07
1033	359.00
1034	772.47
1035	474.69
1036	125.36
1037	647.54
1038	761.38
1039	196.15
1040	404.39
1041	675.46
1042	994.01
1043	254.88
1044	791.87
1045	926.32
1046	643.43
1047	791.04
1048	226.41
1049	376.98
1050	210.46
1051	232.22
1052	102.93
1053	86.12
1054	423.78
1055	135.42
1056	732.76
1057	357.30
1058	572.35
1059	549.81
1060	736.69
1061	644.58
1062	842.00
1063	632.91
1064	52.43
1065	397.03
1066	940.37
1067	208.33
1068	493.09
1069	44.01
1070	272.77
1071	698.98
1072	63.49
1073	169.60
1074	628.35
1075	816.08
1076	195.16
1077	696.81
1078	218.57
1079	856.45
1080	651.81
1081	357.41
1082	840.61
1083	889.45
1084	75.63
1085	989.95
1086	701.21
1087	3.63
1088	423.57
1089	240.18
1090	178.94
1091	929.28
1092	668.85
1093	737.05
1094	953.87
1095	275.68
1096	236.64
1097	46.50
1098	525.19
1099	99.87
1100	140.32
1101	29.01
1102	763.95
1103	298.69
1104	41.54
1105	850.25
1106	680.94
1107	897.39
1108	542.72
1109	302.86
1110	966.15
1111	525.73
1112	79.31
1113	102.43
1114	612.73
1115	457.89
1116	929.36
1117	408.94
1118	445.80
1119	38.24
1120	549.08
1121	37.20
1122	541.21
1123	319.70
1124	964.58
1125	520.58
1126	36.53
1127	37.35
1128	31.21
1129	468.37
1130	467.77
1131	727.55
1132	637.52
1133	730.20
1134	755.20
1135	402.07
1136	421.61
1137	123.02
1138	679.09
1139	389.51
1140	263.23
1141	5.56
1142	315.13
1143	288.28
1144	753.60
